INSTNM,CITY,STABBR,CONTROL,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,PCTFLOAN,PCTPELL,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ADM_RATE,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS
John C Calhoun State Community College,Tanner,AL,1,9380,4260,7650,0.3024,0.3933,31400,27400,NULL,0.0244,0,0,0,0,0,0.0302,0.0136,0,0,0.1084,0,0.0115,0,0,0.4336,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0.0122,0.0043,0.0215,0,0.0179,0.2907,0.0309,0,9380
Judson College,Marion,AL,2,376,16258,16258,0.7205,0.4784,34400,29300,0.6525,0.0333,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.0667,0,0,0.15,0,0,0,0,0.0333,0,0.0667,0,0.1333,0.05,0.0333,0.0167,0,0,0,0,0.0167,0.25,0.0333,0.0667,376
Lawson State Community College-Birmingham Campus,Birmingham,AL,1,2905,4290,7710,0,0.7153,26800,23800,NULL,0,0,0,0,0,0.0115,0.0413,0.0413,0,0,0.1491,0,0.0688,0,0,0.3073,0,0,0,0,0.0229,0,0,0,0,0,0,0.0115,0.0023,0.0046,0.0413,0.0528,0.0321,0,0.0092,0.1422,0.0619,0,2905
University of West Alabama,Livingston,AL,1,1916,8018,14886,0.6733,0.5323,37300,33900,0.7199,0,0,0,0,0.03,0,0,0,0.1723,0,0.0412,0,0,0,0.015,0,0,0.0599,0.03,0,0.0075,0.0599,0,0,0.0225,0,0.0337,0,0,0.0337,0,0.03,0,0,0,0.1798,0.2584,0.0262,1916
Lurleen B Wallace Community College,Andalusia,AL,1,1393,4230,7620,0,0.5892,30300,25200,NULL,0,0.028,0,0,0,0,0.0102,0.0891,0,0,0.0204,0,0.028,0,0,0.3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789,0.0331,0,0,0.3384,0.0712,0,1393
Marion Military Institute,Marion,AL,1,433,8778,14778,0.6244,0.378,48200,44500,0.6139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433
Miles College,Fairfield,AL,2,1778,11604,11604,0.9244,0.8452,28100,25700,NULL,0,0.0152,0,0,0.0808,0,0.0859,0,0.0606,0,0,0,0.1061,0,0.0152,0,0,0.096,0.0152,0,0,0,0,0,0.0051,0,0,0.1717,0.0657,0.0101,0,0,0,0,0.0303,0,0.202,0.0404,1778
University of Mobile,Mobile,AL,2,1460,19475,19475,0.7576,0.4909,38000,35000,0.5847,0,0,0,0,0.0299,0,0.01,0,0.1993,0,0,0,0,0,0.0233,0.1262,0,0.0266,0.0166,0,0.01,0.0133,0.0199,0.0432,0,0,0.0266,0,0,0.0266,0,0,0,0,0.0266,0.2525,0.1362,0.0133,1460
University of Montevallo,Montevallo,AL,1,2644,10660,21220,0.5856,0.3972,36300,34900,0.743,0,0,0,0,0.05,0,0,0,0.1143,0,0,0.0214,0.0571,0,0.0786,0,0,0.0179,0.0214,0,0,0.0643,0,0,0.0036,0,0.0786,0,0.05,0.0321,0,0,0,0,0.1286,0.0964,0.1286,0.0571,2644
Northwest-Shoals Community College,Muscle Shoals,AL,1,3304,4231,7621,0.2455,0.5278,29700,25200,NULL,0,0,0,0,0,0,0.0275,0.0275,0,0,0.0336,0,0.0229,0,0,0.2645,0,0,0,0,0.052,0,0,0,0,0,0,0.0092,0,0,0.0214,0.0887,0.0902,0,0,0.3119,0.0505,0,3304
